query,title,url,published,views
चिकनगुनिया भारत,भारत ने किया चिकनगुनिया के वैक्सीन का इजाद I,https://www.youtube.com/watch?v=lL9gtXGdLDU,8 years ago,278 views
चिकनगुनिया भारत,"Chikungunya, dengue spreading rapidly in Capital City",https://www.youtube.com/watch?v=8MH4RNarlZ4,8 years ago,256 views
चिकनगुनिया भारत,Chikungunya Death Toll Rises to 10 in Delhi,https://www.youtube.com/watch?v=3zZ_e8X-PTA,8 years ago,1.8K views
चिकनगुनिया भारत,Dengue Chikungunya continues to wreak havoc acrooss country,https://www.youtube.com/watch?v=x-APkyRa5v8,8 years ago,122 views
चिकनगुनिया भारत,"Alarming rise in Dengue, Chikungunya cases across the country",https://www.youtube.com/watch?v=liJcj05RfCM,8 years ago,276 views
चिकनगुनिया भारत,"Increase in dengue, chikungunya cases in Delhi",https://www.youtube.com/watch?v=LVyrZ8qe6fQ,8 years ago,92 views
चिकनगुनिया भारत,Delhi continue to struggle with Dengue and Chikungunya,https://www.youtube.com/watch?v=JxeqifyX-Ng,8 years ago,160 views
चिकनगुनिया भारत,Jan Man: 5 deaths from Chikungunya so far,https://www.youtube.com/watch?v=H59IvzTez60,8 years ago,792 views
चिकनगुनिया भारत,Dengue & Chikungunya menace spreads in different parts of country,https://www.youtube.com/watch?v=kQHTytaQWhs,8 years ago,83 views
चिकनगुनिया भारत,"Jan Man: Delhi suffers from Dengue, Chikungunya; Hospital beds not vacant",https://www.youtube.com/watch?v=3Hq5qYrqfyU,8 years ago,1K views
चिकनगुनिया भारत,"Heavy rain: Dengue, Chikungunya spreading in Delhi",https://www.youtube.com/watch?v=8X7aY7x5PZQ,8 years ago,159 views
चिकनगुनिया भारत,"Delhi battles chikungunya: Six more die, toll rises to 11",https://www.youtube.com/watch?v=J5YUvoIrmCs,8 years ago,81 views
चिकनगुनिया भारत,"Jan Man: Delhi tourism affected due to Dengue, Chikungunya",https://www.youtube.com/watch?v=bWrizOukMAY,8 years ago,1K views
चिकनगुनिया भारत,Dharm Sankat: Is Delhi down with political Chikungunya?,https://www.youtube.com/watch?v=KalenYcE5aY,8 years ago,9.7K views
चिकनगुनिया भारत,Chikungunya death toll rises to five in Delhi,https://www.youtube.com/watch?v=QQe4v5I8fu8,8 years ago,43 views
कालाजार भारत,विशेष कार्यक्रम | आरोग्य भारत | कालाजार उन्मूलन | डी डी न्यूज़,https://www.youtube.com/watch?v=gj1LZoYcrJM,2 years ago,374 views
कालाजार भारत,Black Fever | Kala Azar - To The Point | Drishti IAS,https://www.youtube.com/watch?v=GNUoEXUXZdw,2 years ago,66K views
कालाजार भारत,Kala Azar: Stories from Bihar,https://www.youtube.com/watch?v=ZlFtYpdIYx0,3 years ago,584 views
कालाजार भारत,Kala Azar: India's Path Towards Elimination,https://www.youtube.com/watch?v=pu0b_QkMO6k,8 months ago,7.5K views
कालाजार भारत,कालाजार उन्मूलन की दिशा में भारत तेज़ी से अग्रसर | लक्ष्य की प्राप्ति 2030 से घट कर अब 2023 |,https://www.youtube.com/watch?v=wiqXFqXtXxs,2 years ago,111 views
कालाजार भारत,India: Target to eliminate Kala-Azar by 2023 | Black Fever | Current Update | UPSC,https://www.youtube.com/watch?v=TzU50bI2knI,2 years ago,7.6K views
कालाजार भारत,L95. ELIMINATION OF KALAZAR FROM INDIA | UPSC PRE CUM MAINS | DR. RAVI AGRAHARI SIR | PURVANCHAL IAS,https://www.youtube.com/watch?v=oJfpC7_JpTs,1 year ago,172 views
